FILE;G_CODE;G_TESTS;STATUS;TEST_USED;TEST_KILL;MUTANT_LINE;CLASS;DESCRIPTION
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.removeFoundsTest(com.uj.atm.Test.AccountTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.WasMoneyDeposited(com.uj.atm.Test.AtmTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WasMoneyDeposited(com.uj.atm.Test.CreditCardTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WithdrawFunds(com.uj.atm.Test.CreditCardTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.NotEnoughMoney(com.uj.atm.Test.AtmTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.WithdrawFunds(com.uj.atm.Test.AtmTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.EnoughMoney(com.uj.atm.Test.AtmTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.AddFoundsTest(com.uj.atm.Test.AccountTest);NONE;14;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::AccountStatus
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.WasMoneyDeposited(com.uj.atm.Test.AtmTest);NONE;19;Account.java;Replaced double addition with subtraction
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WasMoneyDeposited(com.uj.atm.Test.CreditCardTest);NONE;19;Account.java;Replaced double addition with subtraction
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.EnoughMoney(com.uj.atm.Test.AtmTest);NONE;19;Account.java;Replaced double addition with subtraction
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.AddFoundsTest(com.uj.atm.Test.AccountTest);NONE;19;Account.java;Replaced double addition with subtraction
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.WasMoneyDeposited(com.uj.atm.Test.AtmTest);NONE;20;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::DepositFunds
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WasMoneyDeposited(com.uj.atm.Test.CreditCardTest);NONE;20;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::DepositFunds
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.EnoughMoney(com.uj.atm.Test.AtmTest);NONE;20;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::DepositFunds
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.AddFoundsTest(com.uj.atm.Test.AccountTest);NONE;20;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::DepositFunds
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.removeFoundsTest(com.uj.atm.Test.AccountTest);NONE;25;Account.java;Replaced double subtraction with addition
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WithdrawFunds(com.uj.atm.Test.CreditCardTest);NONE;25;Account.java;Replaced double subtraction with addition
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AtmTest.EnoughMoney(com.uj.atm.Test.AtmTest);NONE;25;Account.java;Replaced double subtraction with addition
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.AccountTest.removeFoundsTest(com.uj.atm.Test.AccountTest);NONE;26;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::WithdrawFunds
1.ini;1;1;NOT_STARTED;com.uj.atm.Test.CreditCardTest.WithdrawFunds(com.uj.atm.Test.CreditCardTest);NONE;26;Account.java;replaced return of double value with -(x + 1) for com/uj/atm/common/Account::WithdrawFunds
